timestamp,realized_balance,unrealized_pnl,total_equity,active_positions
2026-09-02 09:48:46,1000.0,0.0,1000.0,2
2026-09-02 09:48:50,1000.0,0.04,1000.04,2
2026-09-02 09:48:53,1000.0,0.04,1000.04,2
2026-09-02 09:48:54,1000.0,0.0,1000.0,2
2026-09-02 09:48:59,1000.0,0.05,1000.05,2
2026-09-02 09:49:00,1000.0,0.04,1000.04,2
2026-09-02 09:49:01,1000.0,0.0,1000.0,2
2026-09-02 09:49:05,1000.0,0.0,1000.0,2
2026-09-02 09:49:07,1000.0,0.06,1000.06,2
2026-09-02 09:49:09,1000.0,0.05,1000.05,2
2026-09-02 09:49:13,1000.0,0.0,1000.0,2
2026-09-02 09:49:15,1000.0,0.06,1000.06,2
2026-09-02 09:49:16,1000.0,0.05,1000.05,2
2026-09-02 09:49:19,1000.0,0.0,1000.0,2
2026-09-02 09:49:22,1000.0,0.06,1000.06,2
2026-09-02 09:49:23,1000.0,0.06,1000.06,2
2026-09-02 09:49:26,1000.0,0.0,1000.0,2
2026-09-02 09:49:29,1000.0,0.07,1000.07,2
2026-09-02 09:49:30,1000.0,0.07,1000.07,2
2026-09-02 09:49:34,1000.0,0.0,1000.0,2
2026-09-02 09:49:36,1000.0,0.08,1000.08,2
2026-09-02 09:49:38,1000.0,0.07,1000.07,2
2026-09-02 09:49:42,1000.0,0.06,1000.06,2
2026-09-02 09:49:43,1000.0,0.0,1000.0,2
2026-09-02 09:49:47,1000.0,0.05,1000.05,2
2026-09-02 09:49:49,1000.0,0.0,1000.0,2
2026-09-02 09:49:52,1000.0,0.05,1000.05,2
2026-09-02 09:49:58,1000.0,0.0,1000.0,2
2026-09-02 09:49:59,1000.0,0.05,1000.05,2
2026-09-02 09:50:00,1000.0,0.08,1000.08,2
2026-09-02 09:50:04,1000.0,0.0,1000.0,2
2026-09-02 09:50:05,1000.0,0.04,1000.04,2
2026-09-02 09:50:10,1000.0,0.07,1000.07,2
2026-09-02 09:50:11,1000.0,0.0,1000.0,2
2026-09-02 09:50:12,1000.0,0.04,1000.04,2
2026-09-02 09:50:18,1000.0,0.0,1000.0,2
2026-09-02 09:50:19,1000.0,0.06,1000.06,2
2026-09-02 09:50:20,1000.0,0.09,1000.09,2
2026-09-02 09:50:24,1000.0,0.0,1000.0,2
2026-09-02 09:50:25,1000.0,0.06,1000.06,2
2026-09-02 09:50:28,1000.0,0.09,1000.09,2
2026-09-02 09:50:32,1000.0,0.06,1000.06,2
2026-09-02 09:50:34,1000.0,0.09,1000.09,2
2026-09-02 09:50:35,1000.0,0.0,1000.0,2
2026-09-02 09:50:38,1000.0,0.09,1000.09,2
2026-09-02 09:50:41,1000.0,0.06,1000.06,2
2026-09-02 09:50:42,1000.0,0.0,1000.0,2
2026-09-02 09:50:46,1000.0,0.08,1000.08,2
2026-09-02 09:50:50,1000.0,0.0,1000.0,2
2026-09-02 09:50:52,1000.0,0.06,1000.06,2
2026-09-02 09:50:53,1000.0,0.08,1000.08,2
2026-09-02 09:50:57,1000.0,0.0,1000.0,2
2026-09-02 09:50:57,1000.0,0.06,1000.06,2
2026-09-02 09:51:01,1000.0,0.08,1000.08,2
2026-09-02 09:51:03,1000.0,0.06,1000.06,2
2026-09-02 09:51:06,1000.0,0.08,1000.08,2
2026-09-02 09:51:07,1000.0,0.06,1000.06,2
2026-09-02 09:51:12,1000.0,0.0,1000.0,2
2026-09-02 09:51:13,1000.0,0.08,1000.08,2
2026-09-02 09:51:15,1000.0,0.06,1000.06,2
2026-09-02 09:51:19,1000.0,0.0,1000.0,2
2026-09-02 09:51:21,1000.0,0.08,1000.08,2
2026-09-02 09:51:22,1000.0,0.07,1000.07,2
2026-09-02 09:51:24,1000.0,0.0,1000.0,2
2026-09-02 09:51:31,1000.0,0.07,1000.07,2
2026-09-02 09:51:33,1000.0,0.0,1000.0,2
2026-09-02 09:51:36,1000.0,0.09,1000.09,2
2026-09-02 09:51:37,1000.0,0.06,1000.06,2
2026-09-02 09:52:20,1000.0,0.0,1000.0,0
2026-09-02 09:52:21,1000.0,0.0,1000.0,0
2026-09-02 09:52:22,1000.0,0.0,1000.0,0
2026-09-02 09:52:26,1000.0,0.0,1000.0,1
2026-09-02 09:52:33,1000.0,0.0,1000.0,1
2026-09-02 09:52:34,1000.0,-0.0,1000.0,1
2026-09-02 09:52:37,1000.0,0.0,1000.0,2
2026-09-02 09:52:39,1000.0,0.0,1000.0,2
2026-09-02 09:52:43,1000.0,0.0,1000.0,2
2026-09-02 09:52:45,1000.0,-0.01,999.99,2
2026-09-02 09:52:47,1000.0,0.0,1000.0,2
